Number of Components,Area Under Curve
1,0.606
2,0.587
3,0.642
4,0.672
5,0.682
6,0.693
7,0.722
8,0.727
9,0.799
10,0.776
11,0.815
12,0.789
13,0.834
14,0.846
15,0.844
16,0.865
17,0.86
18,0.845
19,0.875
20,0.851
21,0.875
22,0.878
23,0.86
24,0.882
25,0.882
26,0.885
27,0.895
28,0.888
29,0.892
30,0.883
31,0.905
32,0.897
33,0.909
34,0.91
35,0.91
36,0.912
37,0.909
38,0.876
39,0.923
40,0.922
41,0.927
42,0.926
43,0.895
44,0.938
45,0.94
46,0.943
47,0.949
48,0.943
49,0.942
50,0.948
51,0.957
52,0.959
53,0.955
54,0.944
55,0.954
56,0.925
57,0.961
58,0.96
59,0.96
60,0.961
61,0.961
62,0.956
63,0.963
64,0.958
65,0.959
66,0.961
67,0.963
68,0.96
69,0.964
70,0.963
71,0.964
72,0.964
73,0.966
74,0.963
75,0.964
76,0.959
77,0.964
78,0.962
79,0.965
80,0.954
81,0.963
82,0.965
83,0.963
84,0.963
85,0.966
86,0.964
87,0.963
88,0.966
89,0.964
90,0.957
91,0.965
92,0.965
93,0.963
94,0.967
95,0.965
96,0.966
97,0.967
98,0.966
99,0.967
100,0.964
101,0.965
102,0.959
103,0.965
104,0.961
105,0.966
106,0.966
107,0.967
108,0.966
109,0.968
110,0.965
111,0.967
112,0.968
113,0.967
114,0.967
115,0.965
116,0.964
117,0.966
118,0.968
119,0.967
120,0.964
121,0.967
122,0.966
123,0.966
124,0.967
125,0.963
126,0.966
127,0.966
128,0.966
129,0.967
