Number of Components,Area Under Curve
1,0.577
2,0.575
3,0.593
4,0.628
5,0.66
6,0.718
7,0.742
8,0.769
9,0.79
10,0.804
11,0.814
12,0.826
13,0.832
14,0.839
15,0.845
16,0.857
17,0.861
18,0.863
19,0.869
20,0.871
21,0.873
22,0.875
23,0.878
24,0.881
25,0.882
26,0.884
27,0.887
28,0.888
29,0.893
30,0.895
31,0.897
32,0.899
33,0.9
34,0.902
35,0.904
36,0.905
37,0.907
38,0.908
39,0.911
40,0.912
41,0.913
42,0.915
43,0.916
44,0.917
45,0.919
46,0.921
47,0.922
48,0.922
49,0.923
50,0.924
51,0.925
52,0.925
53,0.925
54,0.926
55,0.927
56,0.929
57,0.929
58,0.93
59,0.931
60,0.931
61,0.933
62,0.933
63,0.934
64,0.935
65,0.936
66,0.936
67,0.936
68,0.937
69,0.939
70,0.939
71,0.939
72,0.94
73,0.941
74,0.942
75,0.942
76,0.943
77,0.944
78,0.944
79,0.945
80,0.947
81,0.948
82,0.949
83,0.949
84,0.949
85,0.95
86,0.951
87,0.951
88,0.951
89,0.952
90,0.952
91,0.953
92,0.954
93,0.954
94,0.954
95,0.954
96,0.954
97,0.954
98,0.954
99,0.954
100,0.954
101,0.955
102,0.955
103,0.955
104,0.955
105,0.955
106,0.956
107,0.956
108,0.956
109,0.956
110,0.956
111,0.956
112,0.956
113,0.957
114,0.957
115,0.957
116,0.957
117,0.957
118,0.958
119,0.959
120,0.959
121,0.96
122,0.961
123,0.962
124,0.963
125,0.963
126,0.964
127,0.966
128,0.967
129,0.968
