Number of Components,Area Under Curve
1,0.785
2,0.971
3,0.937
4,0.99
5,0.97
6,0.99
7,0.963
8,0.989
9,0.961
10,0.988
11,0.933
12,0.911
13,0.938
14,0.932
15,0.911
16,0.965
17,0.96
18,0.883
19,0.937
20,0.938
21,0.937
22,0.883
23,0.926
24,0.961
25,0.937
26,0.949
27,0.96
28,0.96
29,0.909
30,0.917
31,0.919
32,0.928
33,0.933
34,0.957
35,0.931
36,0.904
37,0.955
38,0.934
39,0.933
40,0.957
41,0.98
42,0.931
43,0.931
44,0.955
45,0.93
46,0.943
47,0.929
48,0.951
49,0.97
50,0.975
51,0.938
52,0.95
53,0.9
54,0.956
55,0.949
56,0.949
57,0.899
58,0.925
59,0.926
60,0.929
61,0.923
62,0.92
63,0.885
64,0.928
65,0.851
66,0.924
67,0.845
68,0.79
69,0.744
70,0.747
71,0.796
72,0.846
73,0.887
74,0.929
75,0.943
76,0.954
77,0.962
78,0.966
79,0.968
80,0.97
81,0.971
82,0.971
83,0.972
84,0.972
85,0.972
86,0.972
87,0.972
88,0.972
89,0.972
90,0.973
91,0.972
92,0.972
93,0.972
94,0.972
95,0.972
96,0.972
97,0.972
98,0.972
99,0.972
100,0.972
101,0.972
102,0.972
103,0.972
104,0.972
105,0.972
106,0.972
107,0.972
108,0.972
109,0.972
110,0.971
111,0.971
112,0.971
113,0.971
114,0.971
115,0.971
116,0.971
117,0.971
118,0.971
119,0.971
120,0.971
121,0.971
122,0.972
123,0.972
124,0.972
125,0.972
126,0.972
127,0.972
128,0.972
129,0.973
