Number of Components,Area Under Curve
1,0.904
2,0.769
3,0.836
4,0.879
5,0.876
6,0.897
7,0.91
8,0.921
9,0.927
10,0.929
11,0.931
12,0.931
13,0.932
14,0.934
15,0.933
16,0.931
17,0.932
18,0.931
19,0.93
20,0.93
21,0.93
22,0.93
23,0.93
24,0.929
25,0.929
26,0.929
27,0.931
28,0.93
29,0.931
30,0.932
31,0.932
32,0.933
33,0.933
34,0.932
35,0.933
36,0.932
37,0.932
38,0.933
39,0.934
40,0.934
41,0.934
42,0.934
43,0.935
44,0.935
45,0.936
46,0.936
47,0.936
48,0.937
49,0.937
50,0.937
51,0.937
52,0.938
53,0.938
54,0.938
55,0.939
56,0.938
57,0.938
58,0.938
59,0.941
60,0.938
61,0.937
62,0.937
63,0.938
64,0.938
65,0.939
66,0.941
67,0.94
68,0.94
69,0.941
70,0.941
71,0.941
72,0.944
73,0.95
74,0.954
75,0.961
76,0.966
77,0.971
78,0.973
79,0.975
80,0.976
81,0.977
82,0.977
83,0.977
84,0.977
85,0.976
86,0.975
87,0.975
88,0.975
89,0.975
90,0.975
91,0.975
92,0.974
93,0.974
94,0.974
95,0.973
96,0.973
97,0.973
98,0.973
99,0.973
100,0.973
101,0.973
102,0.973
103,0.972
104,0.972
105,0.972
106,0.972
107,0.972
108,0.972
109,0.971
110,0.971
111,0.971
112,0.971
113,0.971
114,0.971
115,0.971
116,0.971
117,0.971
118,0.97
119,0.97
120,0.97
121,0.97
122,0.969
123,0.97
124,0.97
125,0.969
126,0.969
127,0.969
128,0.968
129,0.968
