Number of Components,Area Under Curve
1,0.904
2,0.929
3,0.934
4,0.936
5,0.936
6,0.936
7,0.936
8,0.935
9,0.935
10,0.934
11,0.933
12,0.933
13,0.933
14,0.932
15,0.931
16,0.931
17,0.937
18,0.928
19,0.931
20,0.937
21,0.945
22,0.94
23,0.957
24,0.97
25,0.969
26,0.959
27,0.969
28,0.968
29,0.967
30,0.966
31,0.965
32,0.965
33,0.917
34,0.917
35,0.915
36,0.914
37,0.958
38,0.957
39,0.955
40,0.953
41,0.954
42,0.955
43,0.91
44,0.951
45,0.953
46,0.95
47,0.91
48,0.902
49,0.902
50,0.945
51,0.901
52,0.957
53,0.956
54,0.937
55,0.896
56,0.934
57,0.933
58,0.932
59,0.929
60,0.929
61,0.928
62,0.924
63,0.92
64,0.911
65,0.896
66,0.877
67,0.875
68,0.872
69,0.874
70,0.875
71,0.893
72,0.905
73,0.913
74,0.927
75,0.944
76,0.952
77,0.957
78,0.962
79,0.963
80,0.962
81,0.964
82,0.966
83,0.966
84,0.965
85,0.967
86,0.967
87,0.966
88,0.966
89,0.967
90,0.966
91,0.965
92,0.967
93,0.947
94,0.965
95,0.967
96,0.966
97,0.959
98,0.965
99,0.966
100,0.966
101,0.965
102,0.967
103,0.967
104,0.967
105,0.967
106,0.968
107,0.963
108,0.96
109,0.967
110,0.967
111,0.967
112,0.967
113,0.968
114,0.968
115,0.967
116,0.97
117,0.968
118,0.969
119,0.969
120,0.967
121,0.968
122,0.967
123,0.963
124,0.968
125,0.963
126,0.968
127,0.967
128,0.967
129,0.967
