Number of Components,Area Under Curve
1,0.579
2,0.614
3,0.651
4,0.699
5,0.732
6,0.761
7,0.782
8,0.795
9,0.806
10,0.821
11,0.841
12,0.844
13,0.857
14,0.863
15,0.873
16,0.881
17,0.887
18,0.893
19,0.898
20,0.903
21,0.906
22,0.908
23,0.912
24,0.915
25,0.918
26,0.92
27,0.919
28,0.923
29,0.927
30,0.929
31,0.93
32,0.932
33,0.934
34,0.935
35,0.937
36,0.941
37,0.943
38,0.945
39,0.945
40,0.949
41,0.951
42,0.951
43,0.954
44,0.955
45,0.957
46,0.957
47,0.96
48,0.96
49,0.961
50,0.961
51,0.965
52,0.966
53,0.964
54,0.963
55,0.963
56,0.959
57,0.962
58,0.959
59,0.958
60,0.955
61,0.955
62,0.955
63,0.956
64,0.953
65,0.952
66,0.955
67,0.956
68,0.955
69,0.956
70,0.959
71,0.957
72,0.956
73,0.957
74,0.958
75,0.959
76,0.955
77,0.959
78,0.96
79,0.962
80,0.961
81,0.96
82,0.959
83,0.96
84,0.96
85,0.961
86,0.958
87,0.962
88,0.958
89,0.962
90,0.962
91,0.957
92,0.961
93,0.963
94,0.965
95,0.963
96,0.963
97,0.963
98,0.963
99,0.966
100,0.965
101,0.965
102,0.964
103,0.968
104,0.966
105,0.966
106,0.964
107,0.964
108,0.966
109,0.967
110,0.968
111,0.964
112,0.966
113,0.97
114,0.969
115,0.966
116,0.967
117,0.968
118,0.969
119,0.969
120,0.968
121,0.966
122,0.968
123,0.965
124,0.968
125,0.969
126,0.97
127,0.967
128,0.969
129,0.968
