Number of Components,Area Under Curve
1,0.596
2,0.609
3,0.631
4,0.631
5,0.656
6,0.694
7,0.705
8,0.67
9,0.753
10,0.755
11,0.777
12,0.768
13,0.808
14,0.818
15,0.805
16,0.816
17,0.794
18,0.853
19,0.849
20,0.851
21,0.87
22,0.827
23,0.872
24,0.854
25,0.872
26,0.883
27,0.873
28,0.876
29,0.879
30,0.896
31,0.893
32,0.894
33,0.896
34,0.897
35,0.892
36,0.905
37,0.914
38,0.921
39,0.919
40,0.921
41,0.928
42,0.924
43,0.923
44,0.932
45,0.937
46,0.936
47,0.944
48,0.952
49,0.939
50,0.955
51,0.952
52,0.961
53,0.96
54,0.958
55,0.957
56,0.958
57,0.958
58,0.96
59,0.958
60,0.963
61,0.956
62,0.948
63,0.951
64,0.96
65,0.959
66,0.956
67,0.962
68,0.959
69,0.962
70,0.961
71,0.963
72,0.96
73,0.952
74,0.962
75,0.959
76,0.965
77,0.961
78,0.964
79,0.962
80,0.964
81,0.964
82,0.943
83,0.963
84,0.964
85,0.964
86,0.966
87,0.954
88,0.958
89,0.963
90,0.961
91,0.965
92,0.963
93,0.957
94,0.965
95,0.964
96,0.967
97,0.952
98,0.966
99,0.965
100,0.966
101,0.964
102,0.968
103,0.961
104,0.964
105,0.965
106,0.967
107,0.968
108,0.96
109,0.967
110,0.967
111,0.968
112,0.963
113,0.966
114,0.967
115,0.965
116,0.965
117,0.966
118,0.968
119,0.967
120,0.967
121,0.965
122,0.967
123,0.967
124,0.97
125,0.969
126,0.967
127,0.969
128,0.969
129,0.967
