Number of Components,Area Under Curve
1,0.472
2,0.489
3,0.522
4,0.52
5,0.57
6,0.616
7,0.636
8,0.668
9,0.704
10,0.721
11,0.729
12,0.761
13,0.786
14,0.802
15,0.815
16,0.822
17,0.822
18,0.826
19,0.842
20,0.856
21,0.862
22,0.864
23,0.872
24,0.879
25,0.883
26,0.888
27,0.892
28,0.896
29,0.901
30,0.906
31,0.909
32,0.912
33,0.916
34,0.92
35,0.922
36,0.925
37,0.928
38,0.931
39,0.934
40,0.936
41,0.939
42,0.941
43,0.944
44,0.946
45,0.949
46,0.952
47,0.954
48,0.955
49,0.957
50,0.958
51,0.96
52,0.962
53,0.963
54,0.963
55,0.964
56,0.964
57,0.964
58,0.965
59,0.965
60,0.965
61,0.965
62,0.966
63,0.966
64,0.966
65,0.966
66,0.966
67,0.967
68,0.967
69,0.967
70,0.967
71,0.967
72,0.967
73,0.967
74,0.968
75,0.968
76,0.968
77,0.968
78,0.968
79,0.969
80,0.969
81,0.969
82,0.969
83,0.969
84,0.97
85,0.97
86,0.97
87,0.97
88,0.97
89,0.97
90,0.97
91,0.97
92,0.971
93,0.971
94,0.971
95,0.971
96,0.971
97,0.971
98,0.971
99,0.971
100,0.971
101,0.972
102,0.972
103,0.972
104,0.972
105,0.972
106,0.972
107,0.972
108,0.972
109,0.972
110,0.972
111,0.972
112,0.972
113,0.972
114,0.972
115,0.972
116,0.972
117,0.972
118,0.972
119,0.972
120,0.972
121,0.972
122,0.973
123,0.973
124,0.973
125,0.973
126,0.973
127,0.973
128,0.973
129,0.973
