Number of Components,Area Under Curve
1,0.904
2,0.929
3,0.934
4,0.936
5,0.936
6,0.936
7,0.935
8,0.935
9,0.935
10,0.94
11,0.952
12,0.953
13,0.952
14,0.962
15,0.955
16,0.97
17,0.973
18,0.971
19,0.967
20,0.966
21,0.973
22,0.971
23,0.971
24,0.969
25,0.971
26,0.968
27,0.964
28,0.968
29,0.967
30,0.962
31,0.965
32,0.919
33,0.962
34,0.962
35,0.962
36,0.96
37,0.96
38,0.959
39,0.959
40,0.959
41,0.957
42,0.916
43,0.958
44,0.949
45,0.951
46,0.917
47,0.915
48,0.952
49,0.944
50,0.957
51,0.952
52,0.956
53,0.955
54,0.955
55,0.943
56,0.952
57,0.947
58,0.897
59,0.94
60,0.923
61,0.937
62,0.936
63,0.931
64,0.925
65,0.907
66,0.886
67,0.885
68,0.876
69,0.877
70,0.903
71,0.897
72,0.896
73,0.915
74,0.923
75,0.935
76,0.944
77,0.95
78,0.956
79,0.96
80,0.957
81,0.959
82,0.951
83,0.964
84,0.965
85,0.966
86,0.963
87,0.966
88,0.966
89,0.959
90,0.965
91,0.963
92,0.957
93,0.966
94,0.965
95,0.961
96,0.966
97,0.963
98,0.951
99,0.966
100,0.966
101,0.966
102,0.964
103,0.968
104,0.966
105,0.959
106,0.966
107,0.964
108,0.966
109,0.965
110,0.966
111,0.968
112,0.968
113,0.967
114,0.959
115,0.967
116,0.966
117,0.959
118,0.967
119,0.968
120,0.965
121,0.965
122,0.967
123,0.968
124,0.966
125,0.968
126,0.968
127,0.968
128,0.966
129,0.967
