Number of Components,Area Under Curve
1,0.63
2,0.696
3,0.674
4,0.691
5,0.697
6,0.71
7,0.733
8,0.744
9,0.752
10,0.75
11,0.796
12,0.777
13,0.801
14,0.825
15,0.86
16,0.833
17,0.842
18,0.861
19,0.876
20,0.862
21,0.874
22,0.877
23,0.886
24,0.951
25,0.901
26,0.923
27,0.907
28,0.929
29,0.917
30,0.888
31,0.931
32,0.934
33,0.917
34,0.921
35,0.94
36,0.923
37,0.953
38,0.928
39,0.944
40,0.933
41,0.935
42,0.931
43,0.941
44,0.929
45,0.929
46,0.943
47,0.929
48,0.943
49,0.939
50,0.933
51,0.944
52,0.961
53,0.933
54,0.937
55,0.941
56,0.937
57,0.942
58,0.952
59,0.963
60,0.946
61,0.973
62,0.942
63,0.964
64,0.969
65,0.949
66,0.963
67,0.95
68,0.959
69,0.958
70,0.961
71,0.959
72,0.96
73,0.96
74,0.962
75,0.972
76,0.97
77,0.971
78,0.974
79,0.975
80,0.973
81,0.975
82,0.973
83,0.973
84,0.974
85,0.972
86,0.974
87,0.973
88,0.972
89,0.973
90,0.974
91,0.973
92,0.974
93,0.974
94,0.973
95,0.973
96,0.973
97,0.973
98,0.973
99,0.973
100,0.973
101,0.973
102,0.972
103,0.972
104,0.973
105,0.972
106,0.971
107,0.972
108,0.974
109,0.972
110,0.972
111,0.973
112,0.972
113,0.971
114,0.972
115,0.971
116,0.972
117,0.973
118,0.973
119,0.972
120,0.972
121,0.971
122,0.97
123,0.97
124,0.968
125,0.97
126,0.97
127,0.969
128,0.969
129,0.968
